udata name , peppol name ,udata ID,Peppol ID,Relation
"Ministère de l’Environnement, du Climat et de la Biodiversité & Ministère du Logement et de l’Aménagement du territoire - Département de l’aménagement du territoire ",MECB & MLOGAT - aménagement du territoire,5ce3b1644384b034038a8b66,19805000042 LU16202141,group
Administration de la gestion de l'eau ,  Administration de la gestion de l'eau (AGE) ,571dcf8d32cc221e8ffea95a,19995000035,same
Centre national de littérature - Lëtzebuerger Literaturarchiv ,  Centre national de littérature (CNL) ,5c389ec7f2bcb21feed243e2,LU16966733,same
Caisse pour l'avenir des enfants (Zukunftskeess) ,  Zukunftskeess - Caisse pour l'avenir des enfants (CAE) ,64df211b0f75dcac81957c98,19865200016,same
STATEC Institut national de la statistique et des études économiques du Grand-Duché de Luxembourg ,  Institut national de la statistique et des études économiques (STATEC) ,56f3c3390d6ceb1b0b4030e8,LU11367522,same
Service information et presse du gouvernement ,  Service information et presse (SIP) ,5948cfd2111e9b4478de614b,00005002273,same
Klima-Agence G.I.E. ,  Klima-Agence ,5ce545a54384b03bafb4ee9a,LU22888768,same
University of Luxembourg ,  Université du Luxembourg (UNI) ,5ea22859d2bfb23a9d93704f,LU19805732,same
Conseil de la concurrence ,  Autorité de la concurrence ,5c25f1c928c4b25ebffe46c7,20115500016,same
Post Luxembourg ,  POST Luxembourg ,5808bbb9cc765e4ee57d36ab,LU15400030,same
Administration de l'enregistrement et des domaines ,"  Administration de l'enregistrement, des domaines et de la TVA (AED) ",5a30fe40111e9b74745d785b,LU15397101,same
Musée national d'histoire naturelle Luxembourg ,  Musée national d'histoire naturelle (MNHN) ,57b5a8f16cd58279b1e2a86b,LU11388857,same
Ministère de l'Economie ,  Ministère de l'Économie (MECO) ,60a624b34fa686afdfbf761f,LU15852112,same
Fonds National de la Recherche ,  Fonds national de la recherche (FNR) ,5c9230754384b0031fab17ff,19995200026,same
Office National du Remembrement ,  Office national du remembrement (ONR) ,5a536b90cc765e32c01129e6,LU15935040,same
Service National de la Jeunesse ,  Service national de la jeunesse (SNJ) ,57ee45be111e9b059ac4fe47,00005001498,same
Société Nationale de Circulation Automobile ,  Société nationale de circulation automobile (SNCA) ,58a6ec07cc765e54557a2723,LU10277771,same
Ministère des Finances ,  Ministère des Finances (MFIN) ,56f5152e855e9b577d0f3ab9,LU15446550,same
Inspection du Travail et des Mines ,  Inspection du travail et des mines (ITM) ,5d3581770f7fb02459e9bd52,LU15420557,same
Ministère d'État ,  Ministère d'État (ME) ,5d0753ab0f7fb01acd202732,LU15421264,same
Direction de l'Aviation Civile  ,  Direction de l'aviation civile (DAC) ,6241afd01c9fd7dc81c084e4,00005001390,same
Institut National de Recherches Archéologiques ,  Institut national de recherches archéologiques (INRA) ,5c87d1644384b04b63a6d8e8,20225000019,same
Ministère des Sports ,  Ministère des Sports (MSP) ,64ec939ebd19148ec55fd444,LU12544645,same
Commission de Surveillance du Secteur Financier ,  Commission de surveillance du secteur financier (CSSF) ,5c458700f176a136c95e9153,LU17756005,same
Institut viti-vinicole ,  Institut viti-vinicole (IVV) ,595cacc2111e9b6ef91ebae9,LU11382280,same
Syndicat Intercommunal de Dépollution des Eaux Résiduaires de l'Ouest ,  Syndicat intercommunal de dépollution des eaux résiduaires de l'Ouest (Sidero) ,66168d0d277bb47b22dfcd0f,LU33509308,same
Trésorerie de l'État ,  Trésorerie de l'État (TE) ,63e61c97ea7e8a8b953536f4,LU19055607,same
Société nationale des Chemins de Fer Luxembourgeois ,  Société nationale des chemins de fer luxembourgeois (CFL) ,58d3dccfcc765e5b37aaf0e1,LU10061242,same
Archives nationales de Luxembourg ,  Archives nationales de Luxembourg (ANLux) ,6066bcc215f5df506be1a994,LU11400383,same
Service d'économie rurale ,  Service d'économie rurale (SER) ,63f5d54b24523961c60be10f,LU27486634,same
Caisse nationale de santé ,  Caisse nationale de santé (CNS) ,5d6642bf4384b070a2071aeb,20085200020,same
Centre psycho-social et d'accompagnement scolaires ,  Centre psycho-social et d'accompagnement scolaires - (CePAS) ,5c3846bff2bcb229613678b7,00005001145,same
Ministère de la Culture ,  Ministère de la Culture (MC) ,58e4bf9dcc765e31370e0aec,LU12067883,same
Laboratoire national de santé ,  Laboratoire national de santé (LNS) ,5c26228f277cb07167dda5c2,LU25784916,same
Centre de gestion informatique de l'éducation ,  Centre de gestion informatique de l'Éducation (CGIE) ,57067526a30b1b33b2f65977,00005003253,same
Ministère de l'Economie - Direction générale du tourisme ,  Ministère de l'Économie (MECO) - Direction générale du Tourisme ,5704cb6e0d6ceb5b3933bd37,LU24666041,same
Corps grand-ducal d'incendie et de secours ,  Corps grand-ducal d'incendie et de secours (CGDIS) ,5d35ac2d0f7fb02459e9bd53,LU30319561,same
Centre national de l'audiovisuel ,  Centre national de l'audiovisuel (CNA) ,5b1a3dcfa30b1b48575845ce,LU19662928,same
Centre des technologies de l'information de l'Etat ,  Centre des technologies de l'information de l'État (CTIE) ,57067d81a30b1b33a2f65976,LU10889245,same
Zenter fir d'Lëtzebuerger Sprooch ,  Zenter fir d'Lëtzebuerger Sprooch (ZLS) ,58e4ffe6111e9b5ca33e17a5,20225000469,same
Administration de l'environnement ,  Administration de l'environnement (AEV) ,56f3f191855e9b1ceb21068b,00005000602,same
Agence eSanté G.I.E. ,  Agence eSanté GIE ,66ffa73ce87040b3fd0b1ef9,LU25854803,same
Agence pour le développement de l'emploi ,  Agence pour le développement de l'emploi (ADEM) ,56f3d70f0d6ceb1b0b4030eb,LU15504406,same
"Ministère de l’Agriculture, de l’Alimentation et de la Viticulture ","  Ministère de l'Agriculture, de l'Alimentation et de la Viticulture (MAAV) ",635294fda79db6499f2d0a55,LU15420355,same
